Date,sigma_real,sigma_pred,Lambda,Cq,Delta,gamma_t,state
2023-05-10,0.14053998,0.0991095162489501,0.02082831718927217,0.07855211921184985,0.012948408582974382,0.10144410686843013,CALMA
2023-05-11,0.13981232,0.10081743304363885,0.021845839197948108,0.09871624919806493,0.006984053303913672,0.10173327614436344,CALMA
2023-05-12,0.13201408,0.10335688518727876,0.02435174126583283,0.1122680332917939,0.000314890062674697,0.10575500649219365,CALMA
2023-05-15,0.13229028,0.10826505475439531,0.028162623989852115,0.1555431262071315,-0.0019126458502054591,0.10110370660179226,CALMA
2023-05-16,0.13348771,0.11566457286195758,0.0357137714345255,0.19090430198388014,-0.009211675237141203,0.10325924814741957,CALMA
2023-05-17,0.14010763,0.12313431754424477,0.04508300791656682,0.19770499674278152,0.01768996471265472,0.09666181440001423,CALMA
2023-05-18,0.14380163,0.11585704877810525,0.035935019630011236,0.19141331279738932,0.014310940136884848,0.09510317373082391,CALMA
2023-05-19,0.14208204,0.11084656246661465,0.030436809302269982,0.17383994612648715,0.00848777814907517,0.097983908664049,CALMA
2023-05-22,0.14209298,0.11939955413950332,0.03948734666561101,0.2093810026598525,0.011553710680126375,0.09578651018069345,VERDE
2023-05-23,0.14800155,0.11928434999540272,0.03990485995231789,0.19997712913667062,-0.006678068258169086,0.10040518741878299,CALMA
2023-05-24,0.13899078,0.11625279149274785,0.03687780989818848,0.1843873113542956,-0.008954715044532779,0.10351485855391754,CALMA
2023-05-25,0.14083439,0.11311745576400989,0.034992727913786326,0.1476544401475651,0.005182695216476935,0.10012852904007133,CALMA
2023-05-26,0.13181501,0.11179054182860247,0.0327643954044034,0.15577817238352265,0.011297835674035712,0.14279150551603043,CALMA
2023-05-30,0.12903126,0.11612537063575322,0.03755777990376809,0.17037620476178275,0.008453322279302854,0.14481518874461058,CALMA
2023-05-31,0.13099529,0.107645776594114,0.027981350065297513,0.14512656249002936,0.011781215804711755,0.14101887200778862,CALMA
2023-06-01,0.12771077,0.09995669993394521,0.021882840743312832,0.07945730574589444,0.018383753819008728,0.16458122429643224,CALMA
